Designator,Mid X,Mid Y,Layer,Rotation
R602,125.7mm,56.400000000000006mm,Bottom,90.0
R603,127.7mm,57.175000000000004mm,Bottom,270.0
R604,120.4mm,63.225mm,Bottom,0.0
R605,126.7mm,57.2mm,Bottom,90.0
R606,125.97500000000001mm,48.6mm,Bottom,90.0
R607,119.875mm,51.300000000000004mm,Bottom,90.0
R608,126.7mm,55.300000000000004mm,Bottom,270.0
R609,131.05mm,62.300000000000004mm,Bottom,90.0
R610,123.45mm,53.225mm,Bottom,90.0
R611,123.45mm,51.300000000000004mm,Bottom,90.0
R612,122.183334mm,51.300000000000004mm,Bottom,270.0
R613,129.35mm,61.325mm,Bottom,0.0
R614,130.125mm,64.904291mm,Bottom,270.0
R615,129.65mm,62.85mm,Bottom,270.0
R616,129.625mm,47.650000000000006mm,Bottom,90.0
R618,127.7mm,59.925000000000004mm,Bottom,90.0
R619,126.7mm,59.1mm,Bottom,90.0
R620,125.7mm,59.1mm,Bottom,270.0
R621,130.56mm,70.72500000000001mm,Bottom,180.0
R622,129.625mm,49.6mm,Bottom,270.0
R623,125.7mm,60.975mm,Bottom,90.0
R624,132.025mm,64.9mm,Bottom,270.0
R629,126.41365200000001mm,70.715mm,Bottom,0.0
R630,129.14000000000001mm,55.885000000000005mm,Bottom,90.0
U600,122.15mm,58.675000000000004mm,Bottom,180.0
U601,131.07500000000002mm,68.025mm,Bottom,270.0
U605,126.34962800000001mm,66.525mm,Bottom,90.0
