Designator,Mid X,Mid Y,Layer,Rotation
R232,69.750005mm,63.90000500000001mm,Top,270.0
R231,66.150005mm,62.90000500000001mm,Top,90.0
R230,67.350005mm,62.90000500000001mm,Top,90.0
R229,68.550005mm,62.90000500000001mm,Top,90.0
R228,69.750005mm,62.90000500000001mm,Top,90.0
R226,70.95000499999999mm,63.90000500000001mm,Top,90.0
R225,72.150005mm,63.90000500000001mm,Top,90.0
R224,73.350005mm,63.90000500000001mm,Top,90.0
R223,74.550005mm,63.90000500000001mm,Top,90.0
R222,70.95000499999999mm,62.90000500000001mm,Top,270.0
R221,72.150005mm,62.90000500000001mm,Top,270.0
R220,73.350005mm,62.90000500000001mm,Top,270.0
R219,74.550005mm,62.90000500000001mm,Top,270.0
R218,72.850005mm,62.850005mm,Bottom,180.0
R208,75.750005mm,63.90000500000001mm,Top,90.0
R207,76.95000499999999mm,63.90000500000001mm,Top,90.0
R206,78.150005mm,63.90000500000001mm,Top,90.0
R205,79.350005mm,63.90000500000001mm,Top,90.0
R204,75.750005mm,62.90000500000001mm,Top,270.0
R203,76.95000499999999mm,62.90000500000001mm,Top,270.0
R202,78.150005mm,62.90000500000001mm,Top,270.0
R201,79.350005mm,62.90000500000001mm,Top,270.0
P106,58.450005mm,51.950005000000004mm,Top,90.0
P105,66.070005mm,51.950005000000004mm,Top,90.0
P104,62.060005mm,51.950005000000004mm,Top,90.0
P201,60.100004999999996mm,63.40000500000001mm,Top,270.0
P200,80.650005mm,64.90000500000001mm,Top,270.0
J100,54.90000499999999mm,42.100005mm,Bottom,270.0
D100,77.250005mm,41.90770500000001mm,Bottom,0.0
D205,50.653504999999996mm,56.64360500000001mm,Top,270.0
D206,63.15000499999999mm,60.100005mm,Top,0.0
D203,67.95000499999999mm,60.100005mm,Top,0.0
D200,77.550005mm,60.100005mm,Top,0.0
D116,76.213905mm,51.300505mm,Top,0.0
D115,71.975605mm,51.300505mm,Top,0.0
D114,76.213905mm,49.36710500000001mm,Top,0.0
D113,71.975605mm,49.36710500000001mm,Top,0.0
D112,76.213905mm,47.43380500000001mm,Top,0.0
D111,71.975605mm,47.43380500000001mm,Top,0.0
D110,76.213905mm,45.500505000000004mm,Top,0.0
D109,72.09690499999999mm,45.36110500000001mm,Top,0.0
D202,72.750005mm,60.100005mm,Top,0.0
C143,58.950005mm,61.000005mm,Top,90.0
C144,57.750004999999994mm,61.000005mm,Top,270.0
C145,56.550005mm,61.000005mm,Top,90.0
C146,55.350004999999996mm,61.000005mm,Top,90.0
C112,70.03780499999999mm,51.614705mm,Bottom,180.0
C111,80.350005mm,52.100005mm,Bottom,0.0
C123,54.750004999999994mm,33.475005mm,Bottom,180.0
C117,54.750004999999994mm,32.207505000000005mm,Bottom,180.0
C105,76.550005mm,39.700005000000004mm,Bottom,180.0
C100,79.12250499999999mm,39.700005000000004mm,Bottom,0.0
C229,58.950005mm,61.905105000000006mm,Bottom,270.0
C224,80.800005mm,63.300005000000006mm,Top,270.0
C223,80.800005mm,59.050005000000006mm,Top,270.0
C222,80.750005mm,62.000005mm,Bottom,90.0
C221,60.527305mm,59.227205000000005mm,Top,90.0
C220,60.634705mm,59.200005000000004mm,Bottom,90.0
C225,65.14990499999999mm,60.15000500000001mm,Bottom,90.0
C226,64.050005mm,60.15000500000001mm,Bottom,90.0
C227,61.899905mm,60.15000500000001mm,Bottom,90.0
C228,60.834705mm,62.905105000000006mm,Bottom,270.0
C212,69.949905mm,60.15000500000001mm,Bottom,90.0
C213,68.850005mm,60.15000500000001mm,Bottom,90.0
C214,66.699905mm,60.15000500000001mm,Bottom,90.0
