Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
R38,87.700000mm,70.100000mm,Top,180.0,87.700000mm,70.100000mm
R39,87.700000mm,72.600000mm,Top,180.0,87.700000mm,72.600000mm
R40,87.700000mm,75.100000mm,Top,180.0,87.700000mm,75.100000mm
U1,20.685000mm,81.475000mm,Top,-90.0,20.685000mm,81.475000mm
U2,10.850000mm,71.175000mm,Top,-90.0,10.850000mm,71.175000mm
U3,27.543000mm,28.277000mm,Top,180.0,27.543000mm,28.277000mm
U4,88.375000mm,36.040000mm,Top,90.0,88.375000mm,36.040000mm
U5,109.050000mm,14.275000mm,Top,180.0,109.050000mm,14.275000mm
U6,16.232500mm,102.025000mm,Top,0.0,16.232500mm,102.025000mm
U7,28.107500mm,102.025000mm,Top,0.0,28.107500mm,102.025000mm
U8,22.170000mm,102.025000mm,Top,0.0,22.170000mm,102.025000mm
U9,64.650000mm,102.545856mm,Top,0.0,64.650000mm,102.545856mm
U10,72.680000mm,102.545856mm,Top,0.0,72.680000mm,102.545856mm
U11,80.275000mm,102.550000mm,Top,0.0,80.275000mm,102.550000mm
